26468,07:21:08,51.163528,13.466446,155.10
26471,07:21:11,51.164040,13.466020,150.40
26474,07:21:14,51.163704,13.466257,156.40
26477,07:21:17,51.163522,13.466349,162.60
26480,07:21:20,51.163444,13.466661,219.10
26483,07:21:23,51.163439,13.466678,222.30
26486,07:21:26,51.163439,13.466622,202.30
26489,07:21:29,51.163486,13.466513,182.20
26492,07:21:31,51.163495,13.466479,175.60
26495,07:21:35,51.163490,13.466472,176.00
26498,07:21:38,51.163492,13.466472,175.20
26501,07:21:41,51.163496,13.466471,172.90
26504,07:21:45,51.163495,13.466463,170.80
26507,07:21:48,51.163500,13.466473,169.80
26510,07:21:51,51.163506,13.466488,167.20
26513,07:21:54,51.163508,13.466496,164.80
26516,07:21:57,51.163511,13.466508,164.20
26519,07:22:00,51.163514,13.466517,162.50
26522,07:22:03,51.163517,13.466523,161.00
26525,07:22:06,51.163518,13.466527,160.40
26528,07:22:09,51.163513,13.466527,159.40
26531,07:22:12,51.163511,13.466523,159.50
26534,07:22:15,51.163510,13.466519,159.70
26537,07:22:18,51.163504,13.466518,160.70
26543,07:22:24,51.163503,13.466501,161.60
26547,07:22:27,51.163507,13.466461,163.30
26550,07:22:30,51.163497,13.466421,162.50
26553,07:22:33,51.163516,13.466382,169.40
26556,07:22:36,51.163528,13.466362,170.40
26559,07:22:39,51.163513,13.466380,175.20
26562,07:22:42,51.163471,13.466423,171.80
26565,07:22:45,51.163439,13.466437,171.20
26568,07:22:48,51.163491,13.466446,171.00
26571,07:22:51,51.163518,13.466478,170.60
26574,07:22:54,51.163514,13.466521,172.10
26577,07:22:57,51.163514,13.466500,170.90
26580,07:23:00,51.163520,13.466494,171.10
26585,07:23:06,51.163502,13.466426,167.00
26589,07:23:09,51.163493,13.466421,169.60
26592,07:23:12,51.163493,13.466423,171.40
26595,07:23:15,51.163492,13.466437,171.80
26598,07:23:18,51.163489,13.466438,172.80
26601,07:23:21,51.163488,13.466456,172.10
26604,07:23:24,51.163488,13.466461,171.30
26607,07:23:27,51.163487,13.466469,170.20
26610,07:23:30,51.163486,13.466477,169.90
26613,07:23:33,51.163484,13.466480,170.20
26616,07:23:36,51.163483,13.466480,170.50
26619,07:23:39,51.163484,13.466481,170.80
26622,07:23:42,51.163484,13.466483,170.30
26625,07:23:45,51.163484,13.466485,169.40
26628,07:23:48,51.163483,13.466486,168.90
26631,07:23:51,51.163482,13.466482,169.10
26634,07:23:54,51.163482,13.466475,167.90
26637,07:23:57,51.163481,13.466471,167.00
26640,07:24:00,51.163479,13.466478,166.30
26643,07:24:03,51.163481,13.466477,165.90
26646,07:24:06,51.163482,13.466463,165.20
26651,07:24:12,51.163405,13.466454,153.80
26664,07:24:24,51.163480,13.466419,167.10
26667,07:24:27,51.163487,13.466457,163.00
26670,07:24:30,51.163479,13.466450,162.00
26673,07:24:33,51.163474,13.466446,160.20
26676,07:24:36,51.163469,13.466447,158.30
26679,07:24:39,51.163459,13.466454,158.20
26682,07:24:42,51.163457,13.466445,158.70
26685,07:24:45,51.163459,13.466438,159.30
26688,07:24:48,51.163457,13.466427,159.70
26691,07:24:51,51.163459,13.466422,159.60
26694,07:24:54,51.163470,13.466443,159.50
26697,07:24:57,51.163488,13.466476,161.00
26700,07:25:00,51.163491,13.466486,161.80
26703,07:25:03,51.163489,13.466462,161.90
26706,07:25:06,51.163491,13.466458,162.30
26709,07:25:09,51.163494,13.466457,162.70
26712,07:25:12,51.163492,13.466459,162.70
26715,07:25:15,51.163493,13.466462,163.00
26718,07:25:18,51.163493,13.466465,163.50
26721,07:25:21,51.163492,13.466456,164.40
26724,07:25:24,51.163494,13.466462,164.90
26733,07:25:33,51.163508,13.466517,167.30
26736,07:25:36,51.163502,13.466470,165.10
26739,07:25:39,51.163475,13.466481,166.30
26742,07:25:42,51.163473,13.466470,165.70
26745,07:25:45,51.163477,13.466457,165.00
26748,07:25:48,51.163479,13.466449,165.50
26751,07:25:51,51.163479,13.466449,164.80
26754,07:25:54,51.163473,13.466450,163.40
26757,07:25:57,51.163469,13.466453,163.10
26760,07:26:00,51.163468,13.466455,163.10
26763,07:26:03,51.163473,13.466463,162.90
26766,07:26:06,51.163476,13.466483,162.30
26769,07:26:09,51.163468,13.466498,161.60
26772,07:26:12,51.163469,13.466496,160.40
26775,07:26:15,51.163467,13.466501,159.20
26778,07:26:18,51.163465,13.466504,158.70
26781,07:26:21,51.163468,13.466510,157.90
26784,07:26:24,51.163470,13.466511,157.80
26787,07:26:27,51.163476,13.466509,158.30
26790,07:26:30,51.163470,13.466506,159.00
26793,07:26:33,51.163469,13.466506,158.40
26796,07:26:36,51.163469,13.466506,156.80
26799,07:26:39,51.163468,13.466518,156.90
26802,07:26:43,51.163470,13.466513,156.70
26805,07:26:45,51.163496,13.466541,166.80
26836,07:27:16,51.163571,13.466293,195.80
26839,07:27:19,51.163586,13.466344,187.60
26842,07:27:22,51.163586,13.466359,187.20
26845,07:27:25,51.163579,13.466366,184.80
26848,07:27:28,51.163575,13.466367,184.40
26851,07:27:31,51.163569,13.466374,181.70
26854,07:27:34,51.163569,13.466384,180.20
26857,07:27:37,51.163568,13.466386,178.10
26860,07:27:40,51.163564,13.466397,176.80
26863,07:27:43,51.163560,13.466411,175.00
26866,07:27:46,51.163555,13.466423,173.30
26869,07:27:49,51.163550,13.466438,171.50
26872,07:27:52,51.163466,13.466276,161.10
26878,07:27:58,51.163515,13.466377,154.20
26881,07:28:01,51.163529,13.466410,153.10
26920,07:28:40,51.163454,13.466415,133.60
26923,07:28:43,51.163453,13.466433,142.60
26926,07:28:46,51.163460,13.466446,147.50
26929,07:28:49,51.163470,13.466447,150.10
26932,07:28:52,51.163468,13.466469,153.20
26935,07:28:55,51.163478,13.466476,157.10
26938,07:28:58,51.163513,13.466513,161.00
26941,07:29:01,51.163513,13.466508,161.20
26944,07:29:04,51.163520,13.466505,161.60
26947,07:29:07,51.163520,13.466503,160.30
26950,07:29:10,51.163510,13.466510,161.30
26953,07:29:13,51.163507,13.466506,161.50
26956,07:29:16,51.163502,13.466503,161.20
26959,07:29:19,51.163498,13.466502,161.00
26962,07:29:22,51.163494,13.466500,161.40
26965,07:29:25,51.163491,13.466501,161.70
26968,07:29:28,51.163488,13.466499,161.80
26971,07:29:31,51.163486,13.466503,161.70
26974,07:29:34,51.163485,13.466501,161.90
26977,07:29:37,51.163482,13.466506,161.60
26980,07:29:40,51.163469,13.466566,161.00
26983,07:29:43,51.163463,13.466563,162.80
26986,07:29:46,51.163459,13.466563,164.00
26989,07:29:49,51.163456,13.466577,166.10
26992,07:29:52,51.163448,13.466599,172.40
26995,07:29:55,51.163470,13.466545,161.70
26998,07:29:58,51.163472,13.466529,159.50
27001,07:30:01,51.163472,13.466524,159.90
27004,07:30:04,51.163471,13.466520,160.30
27007,07:30:07,51.163471,13.466517,160.80
27010,07:30:10,51.163469,13.466511,162.40
27013,07:30:13,51.163469,13.466506,164.70
27016,07:30:16,51.163468,13.466497,166.90
27019,07:30:19,51.163469,13.466489,168.70
27022,07:30:22,51.163472,13.466480,170.40
27025,07:30:25,51.163475,13.466473,171.20
27028,07:30:28,51.163480,13.466474,171.60
27031,07:30:31,51.163486,13.466474,172.00
27034,07:30:34,51.163488,13.466475,172.50
27037,07:30:37,51.163495,13.466482,172.90
27040,07:30:40,51.163497,13.466484,173.20
27043,07:30:43,51.163496,13.466485,173.30
27046,07:30:46,51.163497,13.466489,172.90
27049,07:30:49,51.163498,13.466494,172.40
27052,07:30:52,51.163497,13.466495,172.10
27064,07:31:04,51.163473,13.466476,176.80
27067,07:31:07,51.163459,13.466510,176.90
27070,07:31:10,51.163483,13.466507,175.10
27073,07:31:13,51.163482,13.466473,171.90
27076,07:31:16,51.163484,13.466416,168.30
27079,07:31:19,51.163480,13.466409,168.10
27082,07:31:22,51.163477,13.466405,168.90
27085,07:31:25,51.163479,13.466403,169.10
27088,07:31:28,51.163483,13.466408,170.10
27091,07:31:31,51.163485,13.466413,171.00
27094,07:31:34,51.163484,13.466421,170.60
27097,07:31:38,51.163483,13.466438,169.20
