29491,1883
29491,1884
29492,1884
29493,1884
29494,1884
29495,1884
29496,1884
29497,1884
29498,1884
29499,1884
29500,1884
29501,1885
29501,1886
29502,1887
29503,1889
29504,1891
29504,1892
29505,1893
29506,1894
29507,1894
29508,1894
29509,1894
29510,1894
29511,1895
29512,1896
29512,1897
29513,1897
29513,1898
29514,1898
29514,1899
29515,1899
29516,1900
29517,1900
29518,1900
29519,1901
29520,1901
29521,1901
29522,1901
29523,1901
29524,1901
29525,1901
29525,1902
29526,1902
29527,1902
29528,1902
29529,1902
29529,1903
29530,1903
29531,1903
29532,1903
29533,1904
29534,1904
29535,1904
29536,1904
29536,1906
29537,1906
29538,1907
29539,1907
29539,1908
29540,1908
29541,1909
29542,1909
29543,1909
29544,1909
29545,1909
29546,1909
29546,1910
29547,1910
29548,1910
29549,1910
29549,1911
29550,1911
29551,1912
29552,1912
29553,1912
29554,1912
29555,1912
29556,1912
29557,1912
29558,1912
29559,1912
29560,1912
29561,1913
29562,1913
29562,1914
29563,1916
29564,1916
29565,1916
29566,1916
29567,1916
29568,1916
29568,1917
29569,1917
29569,1918
29570,1918
29571,1918
29572,1918
29572,1919
29573,1919
29574,1919
29575,1919
29576,1919
29577,1919
29577,1920
29578,1920
29579,1920
29580,1920
29580,1921
29581,1921
29582,1921
29582,1922
29583,1923
29584,1923
29584,1924
29585,1924
29585,1925
29586,1926
29587,1926
29588,1927
29589,1927
29590,1927
29591,1928
29592,1929
29593,1929
29593,1930
29594,1930
29595,1930
29595,1931
29596,1931
29596,1932
29597,1932
29597,1933
29598,1933
29599,1933
29600,1933
29601,1933
29602,1933
29602,1934
29603,1934
29604,1934
29605,1935
29606,1935
29606,1936
29607,1938
29607,1940
29608,1940
29609,1940
29610,1940
29611,1940
29611,1941
29612,1942
29613,1942
29614,1942
29614,1944
29615,1944
29615,1945
29616,1945
29617,1945
29617,1946
29618,1946
29619,1946
29620,1946
29621,1946
29622,1947
29623,1947
29624,1947
29625,1947
29626,1947
29626,1948
29627,1950
29628,1950
29629,1950
29630,1950
29631,1951
29631,1952
29632,1954
29633,1955
29633,1956
29634,1956
29635,1957
29636,1957
29637,1958
29638,1958
29638,1959
29639,1959
29640,1959
29641,1959
29642,1959
29643,1959
29644,1959
29644,1960
29645,1960
29646,1960
29647,1960
29647,1961
29648,1961
29649,1961
29650,1961
29651,1962
29652,1962
29653,1962
29654,1962
29655,1963
29655,1964
29656,1964
29657,1964
29658,1965
29659,1965
29660,1966
29661,1966
29661,1967
29662,1969
29662,1970
29663,1970
29664,1971
29665,1971
29665,1972
29666,1973
29666,1975
29667,1976
29668,1976
29669,1976
29669,1977
29670,1978
29671,1978
29672,1978
29673,1978
29674,1978
29675,1979
29676,1981
29677,1981
29677,1982
